comparison,control,treatment,acc_mean_delta,acc_std_delta,balanced_accuracy_mean_delta,balanced_accuracy_std_delta,mcc_mean_delta,mcc_std_delta,f1_mean_delta,f1_std_delta,sensitivity_mean_delta,sensitivity_std_delta,specificity_mean_delta,specificity_std_delta
C0-real-step vs SD2.1-I2I-noCN-C1-matched,C0-real-step,SD2.1-I2I-noCN-C1-matched,-0.04615384615384612,0.06577361429294686,0.041818181818181845,0.09249004115848701,0.02477441910990024,0.2613057015391835,0.0833766233766234,0.1886861480676108,0.2,0.18257418583505536,-0.11636363636363634,0.0796168510756775
C0-real-step vs SDXL-I2I-noCN-C1-matched,C0-real-step,SDXL-I2I-noCN-C1-matched,-0.04505494505494503,0.0411904721186622,0.018484848484848514,0.0752360838930312,-0.0462314080377338,0.16121889855924534,0.014285714285714301,0.07759128922285868,0.13333333333333333,0.18257418583505539,-0.09636363636363635,0.06447499355089868
C0-real-step vs DataDream-I2I-noCN-C1-matched,C0-real-step,DataDream-I2I-noCN-C1-matched,-0.015384615384615353,0.06435846357954426,0.03757575757575758,0.10051177582696369,-0.002253909001757165,0.19208027382082862,0.046666666666666655,0.11690451944500119,0.13333333333333333,0.18257418583505539,-0.05818181818181818,0.053242001688532076
C0-real-step vs FoundHand-DataDream-I2I-noCN-C1-matched,C0-real-step,FoundHand-DataDream-I2I-noCN-C1-matched,-0.03076923076923075,0.06577361429294686,0.05181818181818183,0.09836472861097492,0.04208517955900399,0.2231929761852798,0.11650793650793652,0.17895232745098896,0.19999999999999998,0.18257418583505536,-0.09636363636363635,0.06447499355089868
DataDream C1-matched vs C2-soft,DataDream-I2I-noCN-C1-matched,DataDream-I2I-noCN-C2-soft,0.01428571428571428,0.03194382824999698,0.03333333333333334,0.07453559924999299,0.08582179733661217,0.19190337279587522,0.08,0.17888543819998318,0.06666666666666667,0.14907119849998599,0.0,0.0
FoundHand-DataDream C1-matched vs C2-soft,FoundHand-DataDream-I2I-noCN-C1-matched,FoundHand-DataDream-I2I-noCN-C2-soft,0.01428571428571428,0.06307922038930179,0.032424242424242446,0.08229100193266412,0.055285984312999935,0.15983841643725016,0.03111111111111111,0.09682279465668064,0.06666666666666668,0.14907119849998599,-0.0018181818181818299,0.06754245680366072
