experiment,fold,acc,balanced_accuracy,mcc,f1,sensitivity,specificity
DataDream-I2I-noCN-C2-soft,1,0.7857142857142857,0.6212121212121212,0.2842676218074806,0.4,0.3333333333333333,0.9090909090909091
DataDream-I2I-noCN-C2-soft,2,0.8571428571428571,0.7878787878787878,0.5757575757575758,0.6666666666666666,0.6666666666666666,0.9090909090909091
DataDream-I2I-noCN-C2-soft,3,0.6153846153846154,0.4,-0.23354968324845687,0.0,0.0,0.8
DataDream-I2I-noCN-C2-soft,4,0.7692307692307693,0.6166666666666667,0.27247463045653303,0.4,0.3333333333333333,0.9
FoundHand-DataDream-I2I-noCN-C1-matched,0,0.6153846153846154,0.6333333333333333,0.2253744679276044,0.4444444444444444,0.6666666666666666,0.6
FoundHand-DataDream-I2I-noCN-C1-matched,1,0.7857142857142857,0.6212121212121212,0.2842676218074806,0.4,0.3333333333333333,0.9090909090909091
FoundHand-DataDream-I2I-noCN-C1-matched,2,0.7857142857142857,0.7424242424242424,0.4403855060505443,0.5714285714285715,0.6666666666666666,0.8181818181818182
FoundHand-DataDream-I2I-noCN-C1-matched,3,0.6153846153846154,0.4,-0.23354968324845687,0.0,0.0,0.8
FoundHand-DataDream-I2I-noCN-C1-matched,4,0.8461538461538461,0.7833333333333333,0.5666666666666667,0.6666666666666666,0.6666666666666666,0.9
FoundHand-DataDream-I2I-noCN-C2-soft,0,0.6923076923076923,0.8,0.50709255283711,0.6,1.0,0.6
FoundHand-DataDream-I2I-noCN-C2-soft,1,0.7857142857142857,0.6212121212121212,0.2842676218074806,0.4,0.3333333333333333,0.9090909090909091
FoundHand-DataDream-I2I-noCN-C2-soft,2,0.8571428571428571,0.7878787878787878,0.5757575757575758,0.6666666666666666,0.6666666666666666,0.9090909090909091
FoundHand-DataDream-I2I-noCN-C2-soft,3,0.6153846153846154,0.4,-0.23354968324845687,0.0,0.0,0.8
FoundHand-DataDream-I2I-noCN-C2-soft,4,0.7692307692307693,0.7333333333333334,0.42600643361512924,0.5714285714285715,0.6666666666666666,0.8
